EMPLID;NOM;PRENOM;STATUS;EMAIL
00000000;user1;user1;Actif;
00001008;user2;user2;Actif;user2.user2@hec.ca
00001009;user3;user3;Actif;user3.user3@hec.ca
00001011;user4;user4;Actif;user4.user4@hec.ca
00001012;user5;user5;Actif;user5.user5@hec.ca
00001026;user6;user6;Actif;user6.user6@hec.ca
00001032;user7;user7;Actif;user7.user7@hec.ca
00001047;user8;user8;Actif;user8.user8@hec.ca
00001054;user9;user9;Actif;user9.user9@hec.ca
00001066;user10;user10;Actif;user10.user10@hec.ca
00001073;user11;user11;Actif;user11.user11@hec.ca
00001090;user12;user12;Actif;user12.user12@hec.ca
00001092;user13;user13;Actif;user13.user13@hec.ca
00001096;user14;user14;Actif;user14.user14@hec.ca
00001101;user15;user15;Actif;user15.user15@hec.ca
00001102;user16;user16;Actif;user16.user16@hec.ca
00001105;user17;user17;Actif;user17.user17@hec.ca
00001108;user18;user18;Actif;user18.user18@hec.ca
00001131;user19;user19;Actif;user19.user19@hec.ca
00001150;user20;user20;Actif;user20.user20@hec.ca
00001182;user21;user21;Actif;
00001184;user22;user22;Actif;user22.user22@hec.ca
00001318;user23;user23;Actif;user23.user23@hec.ca
00001509;user24;user24;Actif;user24.user24@hec.ca
00001695;user25;user25;Actif;user25.user25@hec.ca
00001871;user26;user26;Actif;user26.user26@hec.ca
00001880;user27;user27;Actif;user27.user27@hec.ca
00001931;user28;user28;Actif;user28.user28@hec.ca
00001958;user29;user29;Actif;user29.user29@hec.ca
00001963;user30;user30;Actif;user30.user30@hec.ca
00002126;user31;user31;Actif;user31.user31@hec.ca
00002193;user32;user32;Actif;user32.user32@hec.ca
00002252;user33;user33;Actif;user33.user33@hec.ca
00002256;user34;user34;Actif;user34.user34@hec.ca
00002298;user35;user35;Actif;user35.user35@hec.ca
00002372;user36;user36;Actif;user36.user36@hec.ca
00002435;user37;user37;Actif;user37.user37@hec.ca
00002453;user38;user38;Actif;user38.user38@hec.ca
00002460;user39;user39;Actif;user39.user39@hec.ca
00002479;user40;user40;Actif;user40.user40@hec.ca
00002523;user41;user41;Actif;user41.user41@hec.ca
00002528;user42;user42;Actif;user42.user42@hec.ca
00002579;user43;user43;Actif;user43.user43@hec.ca
00002604;user44;user44;Actif;user44.user44@hec.ca
00002693;user45;user45;Actif;user45.user45@hec.ca
00002709;user46;user46;Actif;user46.user46@hec.ca
00002723;user47;user47;Actif;user47.user47@hec.ca
00002829;user48;user48;Actif;user48.user48@hec.ca
00002892;user49;user49;Actif;user49.user49@hec.ca
00002955;user50;user50;Actif;user50.user50@hec.ca
00003004;user51;user51;Actif;user51.user51@hec.ca
00003018;user52;user52;Actif;user52.user52@hec.ca
00003044;user53;user53;Actif;user53.user53@hec.ca
00003117;user54;user54;Actif;user54.user54@hec.ca
00003118;user55;user55;Actif;user55.user55@hec.ca
00003120;user56;user56;Actif;user56.user56@hec.ca
00003146;user57;user57;Actif;user57.user57@hec.ca
00003152;user58;user58;Actif;user58.user58@hec.ca
00003168;user59;user59;Actif;user59.user59@hec.ca
00003175;user60;user60;Actif;user60.user60@hec.ca
00003200;user61;user61;Actif;user61.user61@hec.ca
00003264;user62;user62;Actif;user62.user62@hec.ca
00003276;user63;user63;Actif;user63.user63@hec.ca
